"articleID","attributes","record"
55,"article","Group intervention to prevent tobacco use among Native American youth."
55,"journal","Research on Social Work Practice"
55,"pubYear","1994"
55,"author","Moncher, Michael"
55,"author","Schinke, Steven P."
56,"article","Designing research to meet service needs: An evaluation of single-session groups for families of psychiatric inpatients."
56,"journal","Research on Social Work Practice"
56,"pubYear","1994"
56,"author","Turnbull, Joanne E."
56,"author","Galinsky, Maeda J."
56,"author","Wilner, Margaret E."
56,"author","Meglin, Diane E."
57,"article","The short-term effects of relocation on the intellectually disabled."
57,"journal","Research on Social Work Practice"
57,"pubYear","1994"
57,"author","Barber, James G."
57,"author","Cooper, Brian K."
57,"author","Owen, Lloyd"
58,"article","A decade of social group work research: Trends in methodology, theory, and program development."
58,"journal","Research on Social Work Practice"
58,"pubYear","1994"
58,"author","Tolman, Richard M."
58,"author","Molidor, Christian E."
59,"article","The repeatability of a single-session group to promote safe sex behavior in a male at-risk population."
59,"journal","Research on Social Work Practice"
59,"pubYear","1994"
59,"author","Flowers, John V."
59,"author","Miller, Timorthy E."
59,"author","Smith, Nick"
59,"author","Booraem, Curtis D."
60,"article","Long-term follow-up of a structured group treatment for the management of chronic pain."
60,"journal","Research on Social Work Practice"
60,"pubYear","1994"
60,"author","Subramanian, Karen"
61,"article","Parents in groups: Problem solving versus behavioral skills training."
61,"journal","Research on Social Work Practice"
61,"pubYear","1994"
61,"author","Magen, Randy H."
61,"author","Rose, Sheldon D."
62,"article","Implications of the pre/post/then design for evaluating social group work."
62,"journal","Research on Social Work Practice"
62,"pubYear","1994"
62,"author","Robinson, Elizabeth A. R."
62,"author","Doucek, Howard J."
99,"article","Using computer-assisted instruction to teach Axis-II of the DSM-III—R to social work students."
99,"journal","Research on Social Work Practice"
99,"pubYear","1993"
99,"author","Patterson, David A."
99,"author","Yaffe, Joanne"
100,"article","Integrating family assessment into social work practice."
100,"journal","Research on Social Work Practice"
100,"pubYear","1993"
100,"author","Reichertz, Diane"
100,"author","Frankel, Harvy"
101,"article","A scale for measuring social worker empowerment."
101,"journal","Research on Social Work Practice"
101,"pubYear","1993"
101,"author","Frans, Douglas J."
102,"article","A validity study of a self-anchored scale for measuring self-esteem."
102,"journal","Research on Social Work Practice"
102,"pubYear","1993"
102,"author","Nugent, William R."
103,"article","The Social Support Survey: A validation study of a clinical measure of the social support process."
103,"journal","Research on Social Work Practice"
103,"pubYear","1993"
103,"author","Richman, Jack M."
103,"author","Rosenfeld, Lawrence B."
103,"author","Hardy, Charles J."
104,"article","Developing an instrument to measure the Spanish-speaking client's perception of social work intervention in prenatal care."
104,"journal","Research on Social Work Practice"
104,"pubYear","1993"
104,"author","Juliá, María"
105,"article","Validity of the 3-D Circumplex Model for family assessment."
105,"journal","Research on Social Work Practice"
105,"pubYear","1993"
105,"author","Franklin, Cynthia"
105,"author","Streeter, Calvin L."
116,"article","Are social work journal editorial boards competent? Some disquieting data with implications for research on social work practice."
116,"journal","Research on Social Work Practice"
116,"pubYear","1992"
116,"author","Pardeck, John T."
281,"article","The Boulder Model: Lessons from clinical psychology for social work training."
281,"journal","Research on Social Work Practice"
281,"pubYear","1995"
281,"author","Turnbull, Joanne E."
281,"author","Dietz-Uhler, Beth"
282,"article","Rationales for practice decisions: Variations in knowledge use by decision task and social work service."
282,"journal","Research on Social Work Practice"
282,"pubYear","1995"
282,"author","Rosen, Aaron"
282,"author","Proctor, Enola E."
282,"author","Morrow-Howell, Nancy"
282,"author","Staudt, Marlys"
283,"article","Evaluating social work practice in a medical setting: How do we meet the challenges of a rapidly changing system?"
283,"journal","Research on Social Work Practice"
283,"pubYear","1995"
283,"author","Kayser, Karen"
283,"author","Hansen, Patricia"
283,"author","Groves, Anne"
284,"article","Promotion, prevention, and treatment: What are the differences?"
284,"journal","Research on Social Work Practice"
284,"pubYear","1995"
284,"author","Coohey, Carol"
284,"author","Marsh, Jeanne C."
285,"article","Evaluation of telephone support groups for persons with HIV disease."
285,"journal","Research on Social Work Practice"
285,"pubYear","1995"
285,"author","Rounds, Kathleen A."
285,"author","Galinsky, Maeda J."
285,"author","Despard, Mathieu R."
286,"article","Promoting women's urologic self-care: Five single-case replications."
286,"journal","Research on Social Work Practice"
286,"pubYear","1995"
286,"author","Levy, Rona I."
286,"author","Bavendam, Tamara G."
287,"article","Behavioral social work: Past, present, and future."
287,"journal","Research on Social Work Practice"
287,"pubYear","1995"
287,"author","Gambrill, Eileen"
347,"article","Social support and prevention of relapse following treatment for alcohol abuse."
347,"journal","Research on Social Work Practice"
347,"pubYear","1995"
347,"author","Barber, James G."
347,"author","Crisp, Beth R."
348,"article","A preliminary evaluation of the effects of a veterans' hospital domiciliary program for homeless persons."
348,"journal","Research on Social Work Practice"
348,"pubYear","1995"
348,"author","Lloyd-Cobb, Pamela"
348,"author","Dixon, Danny R."
349,"article","Examining family reunification services: A process analysis of a successful experiment."
349,"journal","Research on Social Work Practice"
349,"pubYear","1995"
349,"author","Lewis, Robert E."
349,"author","Walton, Elaine"
349,"author","Fraser, Mark W."
350,"article","Social work practice with homeless persons: State of the art."
350,"journal","Research on Social Work Practice"
350,"pubYear","1995"
350,"author","Johnson, Alice K."
350,"author","Cnaan, Ram A."
351,"article","A history of childhood abuse as a predictor variable: Implications for outcome research."
351,"journal","Research on Social Work Practice"
351,"pubYear","1995"
351,"author","Holmes, Thomas R."
352,"article","Development and validation of an Adult Children of Alcoholics Tool."
352,"journal","Research on Social Work Practice"
352,"pubYear","1995"
352,"author","Hawkins, Catherine A."
352,"author","Hawkins, Raymond C."
419,"article","An examination of the scholarly productivity of social work journal editorial board members and guest reviewers."
419,"journal","Research on Social Work Practice"
419,"pubYear","1995"
419,"author","Pardeck, John T."
419,"author","Chung, Woo Sik"
419,"author","Murphy, John W."
421,"article","The state of the art of social work research: Implications for mental health."
421,"journal","Research on Social Work Practice"
421,"pubYear","1995"
421,"author","Glisson, Charles"
422,"article","Testing the effects of active listening."
422,"journal","Research on Social Work Practice"
422,"pubYear","1995"
422,"author","Nugent, William R."
422,"author","Halvorson, Helene"
423,"article","Clinical practice guidelines for depression in primary care: What social workers need to know."
423,"journal","Research on Social Work Practice"
423,"pubYear","1995"
423,"author","Littrell, Jill"
427,"article","A measure of critical thinking about practice."
427,"journal","Research on Social Work Practice"
427,"pubYear","1995"
427,"author","Gibbs, Leonard"
427,"author","Gambrill, Eileen"
427,"author","Blakemore, Jerome"
427,"author","Begun, Audrey"
427,"author","Keniston, Allen"
427,"author","Peden, Blaine"
427,"author","Lefcowitz, Jack"
599,"article","Evaluation of a school-based child abuse prevention program."
599,"journal","Research on Social Work Practice"
599,"pubYear","1995"
599,"author","Dhooper, Surjit Singh"
599,"author","Schneider, Phyllis L."
600,"article","The fate of optimism: A longitudinal study of case managers' hopefulness and subsequent morale."
600,"journal","Research on Social Work Practice"
600,"pubYear","1995"
600,"author","Kirk, Stuart A."
600,"author","Koeske, Gary F."
601,"article","Training public assistance workers in policy and interpersonal helping skills."
601,"journal","Research on Social Work Practice"
601,"pubYear","1995"
601,"author","Lindsey, Elizabeth W."
601,"author","Kropf, Nancy P."
601,"author","Carse-McLocklin, Susan"
602,"article","Evaluating inpatient treatment for women with clinical depression."
602,"journal","Research on Social Work Practice"
602,"pubYear","1995"
602,"author","Norman, Judith"
602,"author","Lowry, Candace E."
605,"article","Clinical decision making of short- versus long-term treatment."
605,"journal","Research on Social Work Practice"
605,"pubYear","1995"
605,"author","Rabinowitz, Jonathan"
605,"author","Lukoff, Irving"
609,"article","Problem severity among outpatient mental health clients: Development and validation of the South Shore Problem Inventory—Revised."
609,"journal","Research on Social Work Practice"
609,"pubYear","1995"
609,"author","O'Hare, Thomas"
610,"article","Theoretical and practical issues in selecting a measure of family functioning."
