Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
Administration in Social Work,1996, , , ,117,30,40,0
Administration in Social Work,1997, , , ,82,24,12.5,0
Administration in Social Work,1998, , , ,110,27,14.81,0
Administration in Social Work,1999,0.157,0.125,0.265,106,14,35.71,28.57
Administration in Social Work,2000,0.548,0.686,1.276,177,43,20.93,9.3
Administration in Social Work,2001,0.223,0.323,0.737,130,33,24.24,12.12
Administration in Social Work,2002,0.182,0.138,0.181,144,24,33.33,4.17
Administration in Social Work,2003,0.217,0.229,0.333,127,26,30.77,26.92
Administration in Social Work,2004,0.197,0.333,0.622,163,26,11.54,65.38
Administration in Social Work,2005,0.265,0.339,0.503,169,30,26.67,46.67
Administration in Social Work,2006,0.246,0.238,0.393,233,28,32.14,7.14
Administration in Social Work,2007,0.413,0.397,0.609,266,38,42.11,0
Administration in Social Work,2008,0.455,0.47,0.658,251,31,41.94,0
Administration in Social Work,2009,0.607,0.71,0.663,332,34,35.29,0
Administration in Social Work,2010,0.524,0.818,0.794,368,44,40.91,0
Administration in Social Work,2011,0.409,0.691,0.795,329,35,37.14,5.71
Administration in Social Work,2012,0.549,0.855,0.988,422,30,40,3.33
Administration in Social Work,2013,0.619,0.848,1.039,482,40,62.5,0
Administration in Social Work,2014, , , ,367,0,0,0
Administration in Social Work,2015, , , ,24,0,0,0
Affilia - Journal of Women and Social Work,1996, , , ,48,43,53.49,13.95
Affilia - Journal of Women and Social Work,1997, , , ,78,50,56,10
Affilia - Journal of Women and Social Work,1998, , , ,64,45,60,4.44
Affilia - Journal of Women and Social Work,1999,0.207,0.234,0.303,71,61,65.57,3.28
Affilia - Journal of Women and Social Work,2000,0.226,0.304,0.607,76,35,31.43,14.29
Affilia - Journal of Women and Social Work,2001,0.143,0.19,0.353,84,52,63.46,1.92
Affilia - Journal of Women and Social Work,2002,0.629,0.516,0.565,126,46,47.83,41.3
Affilia - Journal of Women and Social Work,2003,0.284,0.385,0.454,122,66,57.58,21.21
Affilia - Journal of Women and Social Work,2004,0.177,0.176,0.317,120,60,60,36.67
Affilia - Journal of Women and Social Work,2005,0.259,0.282,0.479,147,65,58.46,32.31
Affilia - Journal of Women and Social Work,2006,0.333,0.385,0.598,180,62,51.61,12.9
Affilia - Journal of Women and Social Work,2007,0.277,0.286,0.442,170,43,32.56,4.65
Affilia - Journal of Women and Social Work,2008,0.406,0.494,0.607,244,52,44.23,3.85
Affilia - Journal of Women and Social Work,2009,0.348,0.451,0.576,248,44,34.09,0
Affilia - Journal of Women and Social Work,2010,0.449,0.671,0.812,293,53,45.28,1.89
Affilia - Journal of Women and Social Work,2011,0.411,0.674,0.636,350,66,69.7,12.12
Affilia - Journal of Women and Social Work,2012,0.386,0.73,0.996,377,41,58.54,4.88
Affilia - Journal of Women and Social Work,2013,0.379,0.72,1.015,454,38,60.53,47.37
Affilia - Journal of Women and Social Work,2014, , , ,314,31,93.55,61.29
Affilia - Journal of Women and Social Work,2015, , , ,31,0,0,0
Asia Pacific Journal of Social Work and Development,1996, , , ,0,1,0,100
Asia Pacific Journal of Social Work and Development,1997, , , ,0,0,0,0
Asia Pacific Journal of Social Work and Development,1998, , , ,0,2,50,0
Asia Pacific Journal of Social Work and Development,1999,0.127,0.043,0.105,0,0,0,0
Asia Pacific Journal of Social Work and Development,2000,0.118,0.063,0.116,0,0,0,0
Asia Pacific Journal of Social Work and Development,2001,0.101,0,0,0,0,0,0
Asia Pacific Journal of Social Work and Development,2002, , , ,0,0,0,0
Asia Pacific Journal of Social Work and Development,2003,0.101,0,0,0,0,0,0
Asia Pacific Journal of Social Work and Development,2004,0.14,0.038,0.159,0,0,0,0
Asia Pacific Journal of Social Work and Development,2005,0.103,0.026,0.021,0,13,69.23,46.15
Asia Pacific Journal of Social Work and Development,2006,0.127,0.083,0.245,0,13,46.15,7.69
Asia Pacific Journal of Social Work and Development,2007,0.101,0.086,0.096,0,14,57.14,50
Asia Pacific Journal of Social Work and Development,2008,0.124,0.147,0.293,7,14,42.86,7.14
Asia Pacific Journal of Social Work and Development,2009,0.109,0.028,0.022,4,16,62.5,0
Asia Pacific Journal of Social Work and Development,2010,0.135,0.081,0.181,10,16,50,0
Asia Pacific Journal of Social Work and Development,2011,0.1,0,0,6,16,87.5,6.25
Asia Pacific Journal of Social Work and Development,2012,0.113,0.122,0.21,11,25,76,8
Asia Pacific Journal of Social Work and Development,2013,0.148,0.167,0.231,29,29,96.55,6.9
Asia Pacific Journal of Social Work and Development,2014, , , ,23,25,100,0
Asia Pacific Journal of Social Work and Development,2015, , , ,2,0,0,0
Asian Social Work and Policy Review,1996, , , ,0,0,0,0
Asian Social Work and Policy Review,1997, , , ,0,0,0,0
Asian Social Work and Policy Review,1998, , , ,0,0,0,0
Asian Social Work and Policy Review,1999, , , ,0,0,0,0
Asian Social Work and Policy Review,2000, , , ,0,0,0,0
Asian Social Work and Policy Review,2001, , , ,0,0,0,0
Asian Social Work and Policy Review,2002, , , ,0,0,0,0
Asian Social Work and Policy Review,2003, , , ,0,0,0,0
Asian Social Work and Policy Review,2004, , , ,0,0,0,0
Asian Social Work and Policy Review,2005, , , ,0,0,0,0
Asian Social Work and Policy Review,2006, , , ,0,0,0,0
Asian Social Work and Policy Review,2007, , , ,0,0,0,0
Asian Social Work and Policy Review,2008, , , ,0,9,33.33,0
Asian Social Work and Policy Review,2009,0.131,0.125,0.07,3,16,6.25,0
Asian Social Work and Policy Review,2010,0.198,0.375,0.543,13,11,72.73,0
Asian Social Work and Policy Review,2011,0.143,0.229,0.265,13,14,35.71,0
Asian Social Work and Policy Review,2012,0.189,0.293,0.279,27,17,47.06,0
Asian Social Work and Policy Review,2013,0.159,0.286,0.378,23,18,77.78,0
Asian Social Work and Policy Review,2014, , , ,21,15,100,0
Asian Social Work and Policy Review,2015, , , ,2,0,0,0
Australian Social Work,1996, , , ,0,0,0,0
Australian Social Work,1997, , , ,0,0,0,0
Australian Social Work,1998, , , ,0,10,40,0
Australian Social Work,1999, , , ,1,40,45,0
Australian Social Work,2000, , , ,3,36,38.89,0
Australian Social Work,2001, , , ,7,63,52.38,0
Australian Social Work,2002, , , ,22,40,47.5,0
Australian Social Work,2003, , , ,8,53,54.72,0
Australian Social Work,2004, , , ,35,61,62.3,0
Australian Social Work,2005, , , ,23,62,54.84,0
Australian Social Work,2006, , , ,53,62,53.23,0
Australian Social Work,2007, , , ,89,63,53.97,3.17
Australian Social Work,2008,0.122,0.069,0.202,133,66,60.61,1.52
Australian Social Work,2009,0.326,0.367,0.73,213,63,47.62,1.59
Australian Social Work,2010,0.337,0.418,0.516,208,55,49.09,1.82
Australian Social Work,2011,0.445,0.769,0.762,275,53,43.4,3.77
Australian Social Work,2012,0.434,0.67,0.644,332,45,31.11,0
Australian Social Work,2013,0.341,0.505,0.424,381,49,48.98,4.08
Australian Social Work,2014, , , ,307,48,81.25,2.08
Australian Social Work,2015, , , ,47,10,100,0
British Journal of Social Work,1996, , , ,232,95,63.16,5.26
