"","x"
"1","Administration in Social Work"
"2","Affilia - Journal of Women and Social Work"
"3","Asia Pacific Journal of Social Work and Development"
"4","Asian Social Work and Policy Review"
"5","Australian Social Work"
"6","British Journal of Social Work"
"7","Child and Adolescent Social Work Journal"
"8","Child and Family Social Work"
"9","China Journal of Social Work"
"10","Clinical Social Work Journal"
"11","European Journal of Social Work"
"12","Health and Social Work"
"13","Indian Journal of Social Work"
"14","International Social Work"
"15","Journal of Ethnic and Cultural Diversity in Social Work"
"16","Journal of Evidence-Based Social Work"
"17","Journal of Family Social Work"
"18","Journal of Gerontological Social Work"
"19","Journal of Religion and Spirituality in Social Work"
"20","Journal of Social Work"
"21","Journal of Social Work Education"
"22","Journal of Social Work Practice"
"23","Journal of Social Work Practice in the Addictions"
"24","Journal of Social Work in Disability and Rehabilitation"
"25","Journal of Social Work in End-of-Life and Palliative Care"
"26","Journal of Teaching in Social Work"
"27","Psychoanalytic Social Work"
"28","Qualitative Social Work"
"29","Research on Social Work Practice"
"30","Smith College Studies in Social Work"
"31","Social Work"
"32","Social Work & Society"
"33","Social Work Education"
"34","Social Work Research"
"35","Social Work and Social Sciences Review"
"36","Social Work in Health Care"
"37","Social Work in Mental Health"
"38","Social Work in Public Health"
"39","Social Work with Groups"
"40","Social Work/Maatskaplike Werk"
"41","Journal of Gay and Lesbian Social Services"
"42","Journal of HIV/AIDS and Social Services"
"43","Journal of Psychosocial Nursing and Mental Health Services"
"44","Journal of Social Service Research"
"45","Social Service Review"
"46","International Journal of Social Welfare"
"47","Journal of Social Welfare and Family Law"
"48","Journal of Sociology and Social Welfare"
"49","Social Choice and Welfare"
"50","Children and Schools"
"51","Families in Society"
"52","Journal of Human Behavior in the Social Environment"
"53","Journal of Progressive Human Services"
"54","Journal of Psychosocial Oncology"
"55","Journal of Technology in Human Services"
