 , , , , , , , , , 
,,,,,,,,,
Category,Discipline,Subject,SourceType,ISSN,PublicationName,IndexingStart,IndexingStop,FullTextStart,FullTextStop
Social Sciences & Humanities,Psychology,Psychology,Academic Journal,1559-5145,(Re)-turn: A Journal of Lacanian Studies,01/01/2013,,01/01/2013,
Health & Medicine,Clinical Specialties,Psychology,Academic Journal,1559-5145,(Re)-turn: A Journal of Lacanian Studies,01/01/2013,,01/01/2013,
Health & Medicine,Nursing,Anesthesia Nursing,Academic Journal,0094-6354,AANA Journal,01/01/2001,,02/01/2001,
Health & Medicine,Clinical Specialties,Anesthesia Nursing,Academic Journal,0094-6354,AANA Journal,01/01/2001,,02/01/2001,
Technology,Computer Science,Computer Science,Academic Journal,0365-0359,"AAPP | Physical, Mathematical & Natural Sciences / Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Fisiche, Matematiche e Naturali",06/01/2009,,06/01/2009,
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,0365-0359,"AAPP | Physical, Mathematical & Natural Sciences / Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Fisiche, Matematiche e Naturali",06/01/2009,,06/01/2009,
Science,Mathematics,Mathematics,Academic Journal,0365-0359,"AAPP | Physical, Mathematical & Natural Sciences / Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Fisiche, Matematiche e Naturali",06/01/2009,,06/01/2009,
Science,Physics,Physics,Academic Journal,0365-0359,"AAPP | Physical, Mathematical & Natural Sciences / Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Fisiche, Matematiche e Naturali",06/01/2009,,06/01/2009,
Business,Management,Management,Academic Journal,0717-344X,ABANTE,04/01/2001,,04/01/2001,
General Interest,Ethnic Group Interest,Black & African American Interest,Academic Journal,1046-7041,ABNF Journal,11/01/2002,,11/01/2002,
Health & Medicine,Nursing,Nursing,Academic Journal,1046-7041,ABNF Journal,11/01/2002,,11/01/2002,
Social Sciences & Humanities,Area Studies,Aboriginal Studies,Academic Journal,1037-3403,Aboriginal & Islander Health Worker Journal,09/01/2009,,09/01/2009,
Education,Educational Levels,Higher Education,Academic Journal,1086-4822,About Campus,01/01/1997,,01/01/1997,
Science,Mathematics,Applied Mathematics,Academic Journal,1085-3375,Abstract & Applied Analysis,01/01/2007,,01/01/2007,
Science,Applied Sciences,Applied Mathematics,Academic Journal,1085-3375,Abstract & Applied Analysis,01/01/2007,,01/01/2007,
Science,Mathematics,Mathematical Analysis,Academic Journal,1085-3375,Abstract & Applied Analysis,01/01/2007,,01/01/2007,
Education,Educational Levels,Higher Education,Academic Journal,0895-4852,Academic Questions,12/01/1987,,12/01/1987,
Social Sciences & Humanities,Psychology,Psychology,Academic Journal,1578-908X,Acción Psicológica,01/01/2010,,01/01/2010,
Health & Medicine,Clinical Specialties,Psychology,Academic Journal,1578-908X,Acción Psicológica,01/01/2010,,01/01/2010,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1024-9435,ACIMED,05/01/1998,,05/01/1998,
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,1492-9732,ACME: An International E-Journal for Critical Geographies,07/01/2010,,07/01/2010,
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,1492-9732,ACME: An International E-Journal for Critical Geographies,07/01/2010,,07/01/2010,
Science,Physics,Acoustics & Sound,Academic Journal,1063-7710,Acoustical Physics,01/01/2000,,01/01/2000,
Science,Physics,Acoustics & Sound,Academic Journal,0814-6039,Acoustics Australia,12/01/1987,,12/01/2009,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1056-8751,ACP Journal Club,01/01/2002,,01/01/2002,
Social Sciences & Humanities,Social Sciences & Humanities (General),Social Sciences & Humanities (General),Academic Journal,0587-2405,Acta Academica,01/01/2013,,01/01/2013,
Science,Earth & Atmospheric Sciences,Marine Sciences,Academic Journal,0001-5113,Acta Adriatica,12/01/2007,,12/01/2007,
Science,Life Sciences,Marine Sciences,Academic Journal,0001-5113,Acta Adriatica,12/01/2007,,12/01/2007,
Science,Earth & Atmospheric Sciences,Oceanography,Academic Journal,0001-5113,Acta Adriatica,12/01/2007,,12/01/2007,
Science,Life Sciences,Zoology,Academic Journal,0906-4702,"Acta Agriculturae Scandinavica: Section A, Animal Science",02/01/1998,,02/01/1998,
Science,Life Sciences,Agriculture & Farming,Academic Journal,0906-4710,"Acta Agriculturae Scandinavica: Section B, Soil & Plant Science",03/01/1998,,03/01/1998,
Science,Earth & Atmospheric Sciences,Soil Sciences,Academic Journal,0906-4710,"Acta Agriculturae Scandinavica: Section B, Soil & Plant Science",03/01/1998,,03/01/1998,
Technology,Engineering,Soil Sciences,Academic Journal,0906-4710,"Acta Agriculturae Scandinavica: Section B, Soil & Plant Science",03/01/1998,,03/01/1998,
Science,Life Sciences,Soil Sciences,Academic Journal,0906-4710,"Acta Agriculturae Scandinavica: Section B, Soil & Plant Science",03/01/1998,,03/01/1998,
Health & Medicine,Clinical Specialties,Anesthesiology,Academic Journal,0001-5172,Acta Anaesthesiologica Scandinavica,01/01/1999,,01/01/1999,
Religion & Philosophy,Religion & Philosophy (General),Religion & Philosophy (General),Academic Journal,0353-5150,Acta Analytica,06/01/2007,,06/01/2007,
Health & Medicine,Clinical Specialties,Vascular Medicine,Academic Journal,1234-950X,Acta Angiologica,03/01/2005,,03/01/2005,
Science,Mathematics,Mathematics,Academic Journal,0167-8019,Acta Applicandae Mathematica,01/01/2007,,01/01/2008,
History,Archaeology,Archaeology,Academic Journal,0065-101X,Acta Archaeologica,11/01/2001,,11/01/2001,
Religion & Philosophy,Philosophy Branches,Ethics,Academic Journal,0717-5906,Acta Bioéthica,06/01/2007,,06/01/2007,
Technology,Technology (General),Technology (General),Academic Journal,0717-5906,Acta Bioéthica,06/01/2007,,06/01/2007,
Science,Life Sciences,Botany,Academic Journal,0365-0588,Acta Botanica Croatica,04/01/2007,,04/01/2007,
Science,Life Sciences,Botany,Academic Journal,0187-7151,Acta Botanica Mexicana,04/01/1988,,04/01/1988,
Science,Earth & Atmospheric Sciences,Speleology,Academic Journal,0583-6050,Acta Carsologica,06/01/2011,,06/01/2011,
Science,Earth & Atmospheric Sciences,Karst Topography,Academic Journal,0583-6050,Acta Carsologica,06/01/2011,,06/01/2011,
Science,Chemistry,Chemistry,Academic Journal,1318-0207,Acta Chimica Slovenica,09/01/2006,,09/01/2006,
Science,Chemistry,Crystallography,Academic Journal,0108-7673,Acta Crystallographica: Section A (Wiley-Blackwell),01/01/1998,12/31/2007,05/01/2004,12/31/2007
Science,Chemistry,Crystallography,Academic Journal,0108-7681,Acta Crystallographica: Section B (Wiley-Blackwell),02/01/1998,12/31/2007,06/01/2004,12/31/2007
Science,Chemistry,Crystallography,Academic Journal,0108-2701,Acta Crystallographica: Section C (Wiley-Blackwell),08/01/2002,12/31/2007,05/01/2004,12/31/2007
Science,Chemistry,Crystallography,Academic Journal,0907-4449,Acta Crystallographica: Section D (Wiley-Blackwell),08/01/2002,12/31/2007,08/01/2002,12/31/2007
Science,Chemistry,Crystallography,Academic Journal,1600-5368,Acta Crystallographica: Section E (Wiley-Blackwell),05/01/2004,12/31/2007,05/01/2004,12/31/2007
Health & Medicine,Clinical Specialties,Dermatology,Academic Journal,0001-5555,Acta Dermato-Venereologica,04/20/1998,,04/20/1998,
Health & Medicine,Diseases & Conditions,Sexually Transmitted Diseases,Academic Journal,0001-5555,Acta Dermato-Venereologica,04/20/1998,,04/20/1998,
Religion & Philosophy,Religion & Philosophy (General),Religion & Philosophy (General),Academic Journal,0351-2789,Acta Ecclesiastica Sloveniae,01/01/2013,,01/01/2013,
Health & Medicine,Clinical Specialties,Endocrinology,Academic Journal,1841-0987,Acta Endocrinologica (1841-0987),04/01/2006,,04/01/2006,
Science,Life Sciences,Insects & Arthropods,Academic Journal,0374-1036,Acta Entomologica Musei Natioalis Pragae,06/01/2009,,06/01/2009,
Science,Mathematics,Applied Mathematics,Academic Journal,1406-2283,Acta et Commentationes Universitatis Tartuensis de Mathematica,08/01/2013,,08/01/2013,
Science,Applied Sciences,Applied Mathematics,Academic Journal,1406-2283,Acta et Commentationes Universitatis Tartuensis de Mathematica,08/01/2013,,08/01/2013,
Science,Mathematics,Pure Mathematics,Academic Journal,1406-2283,Acta et Commentationes Universitatis Tartuensis de Mathematica,08/01/2013,,08/01/2013,
Science,Life Sciences,Animal Behavior,Academic Journal,0873-9749,Acta Ethologica,01/01/1999,,09/01/1999,
Social Sciences & Humanities,Psychology,Animal Behavior,Academic Journal,0873-9749,Acta Ethologica,01/01/1999,,09/01/1999,
Health & Medicine,Clinical Specialties,Animal Behavior,Academic Journal,0873-9749,Acta Ethologica,01/01/1999,,09/01/1999,
Social Sciences & Humanities,Psychology,Human Behavior,Academic Journal,0873-9749,Acta Ethologica,01/01/1999,,09/01/1999,
Health & Medicine,Clinical Specialties,Human Behavior,Academic Journal,0873-9749,Acta Ethologica,01/01/1999,,09/01/1999,
Health & Medicine,Medical Sciences,Medical Sciences,Academic Journal,0351-6083,Acta Facultatis Medicae Naissensis,12/01/2009,,12/01/2009,
Science,Chemistry,Pharmacology,Academic Journal,0301-2298,Acta Facultatis Pharmaceuticae Universitatis Comenianae,01/01/2010,,01/01/2010,
Health & Medicine,Medical Sciences,Pharmacology,Academic Journal,0301-2298,Acta Facultatis Pharmaceuticae Universitatis Comenianae,01/01/2010,,01/01/2010,
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,1980-5772,Acta Geográfica,01/01/2012,,01/01/2012,
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,1980-5772,Acta Geográfica,01/01/2012,,01/01/2012,
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,0373-4498,Acta Geographica,01/01/1996,01/31/2003,01/01/1996,01/31/2003
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,0373-4498,Acta Geographica,01/01/1996,01/31/2003,01/01/1996,01/31/2003
Science,Earth & Atmospheric Sciences,Geology,Academic Journal,1000-9515,Acta Geologica Sinica (English Edition),02/01/2010,,02/01/2010,
Science,Life Sciences,Reptiles & Amphibians,Academic Journal,1827-9635,Acta Herpetologica,06/01/2009,,06/01/2009,
Technology,Computer Science,Informatics,Academic Journal,0001-5903,Acta Informatica,10/01/1996,,10/01/1996,
Social Sciences & Humanities,Library & Information Science,Informatics,Academic Journal,0001-5903,Acta Informatica,10/01/1996,,10/01/1996,
Science,Mathematics,Mathematics,Academic Journal,0001-5962,Acta Mathematica,03/01/2010,,03/01/2010,
Science,Mathematics,Mathematics,Academic Journal,0236-5294,Acta Mathematica Hungarica,04/01/2003,,04/01/2003,
Science,Mathematics,Mathematics,Academic Journal,1439-8516,Acta Mathematica Sinica,01/01/2000,,01/01/2000,
Science,Mathematics,Applied Mathematics,Academic Journal,0862-9544,Acta Mathematica Universitatis Comenianae,01/01/2006,,01/01/2006,
Science,Applied Sciences,Applied Mathematics,Academic Journal,0862-9544,Acta Mathematica Universitatis Comenianae,01/01/2006,,01/01/2006,
Science,Mathematics,Pure Mathematics,Academic Journal,0862-9544,Acta Mathematica Universitatis Comenianae,01/01/2006,,01/01/2006,
Technology,Engineering,Mechanical Engineering,Academic Journal,0001-5970,Acta Mechanica,01/01/1999,,01/01/1999,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1840-1848,Acta Medica Academica,06/01/2007,,06/01/2007,
Health & Medicine,Clinical Specialties,Internal Medicine,Academic Journal,0303-8173,Acta Medica Austriaca,01/01/2000,12/31/2004,03/01/2000,12/31/2004
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0044-6025,Acta Medica Iranica,02/01/2009,,02/01/2009,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1392-0138,Acta Medica Lituanica,03/01/2005,,03/01/2005,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,2068-3324,Acta Medica Marisiensis,08/01/2010,,08/01/2010,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1335-8421,Acta Medica Martiniana,11/01/2007,,11/01/2007,
Health & Medicine,Medical Sciences,Biomedicine,Academic Journal,1335-8421,Acta Medica Martiniana,11/01/2007,,11/01/2007,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0365-4478,Acta Medica Medianae,06/01/2010,,06/01/2010,
Politics & Government,Public Health,Public Health,Academic Journal,1453-1968,Acta Medica Transilvanica,03/01/2011,,03/01/2011,
Health & Medicine,Public Health,Public Health,Academic Journal,1453-1968,Acta Medica Transilvanica,03/01/2011,,03/01/2011,
Social Sciences & Humanities,Public Health,Public Health,Academic Journal,1453-1968,Acta Medica Transilvanica,03/01/2011,,03/01/2011,
Social Sciences & Humanities,Ethnic & Cultural Studies,Ethnic & Cultural Studies,Academic Journal,1334-4366,Acta Medico-Historica Adriatica,07/01/2007,,07/01/2007,
