"","articleID","title","year"
"1",1,"Journal of Sociology & Social Welfare","1995"
"2",2,"Journal of Sociology & Social Welfare","1995"
"3",3,"Journal of Sociology & Social Welfare","1995"
"4",4,"Journal of Sociology & Social Welfare","1995"
"5",5,"Journal of Sociology & Social Welfare","1990"
"6",6,"Journal of Sociology & Social Welfare","1990"
"7",7,"Journal of Sociology & Social Welfare","1990"
"8",8,"Journal of Sociology & Social Welfare","1990"
"9",9,"Journal of Sociology & Social Welfare","1990"
"10",18,"Journal of Sociology & Social Welfare","1991"
"11",19,"Journal of Sociology & Social Welfare","1991"
"12",20,"Journal of Applied Social Sciences","1994"
"13",21,"Journal of Applied Social Sciences","1994"
"14",22,"Journal of Applied Social Sciences","1994"
"15",23,"Journal of Applied Social Sciences","1994"
"16",24,"Journal of Applied Social Sciences","1994"
"17",25,"Social Work in Health Care","1994"
"18",26,"Social Work in Health Care","1995"
"19",27,"Social Work in Health Care","1995"
"20",28,"Social Work in Health Care","1995"
"21",29,"Social Work in Health Care","1995"
"22",30,"Social Work in Health Care","1995"
"23",31,"Social Work in Health Care","1995"
"24",32,"Social Work in Health Care","1995"
"25",33,"Social Work in Health Care","1995"
"26",46,"Social Work in Health Care","1991"
"27",47,"Social Work in Health Care","1991"
"28",48,"Social Work in Health Care","1991"
"29",49,"Social Work in Health Care","1991"
"30",50,"Social Work in Health Care","1991"
"31",55,"Research on Social Work Practice","1994"
"32",56,"Research on Social Work Practice","1994"
"33",57,"Research on Social Work Practice","1994"
"34",58,"Research on Social Work Practice","1994"
"35",59,"Research on Social Work Practice","1994"
"36",60,"Research on Social Work Practice","1994"
"37",61,"Research on Social Work Practice","1994"
"38",62,"Research on Social Work Practice","1994"
"39",63,"Journal of Technology in Human Services","1994"
"40",64,"Journal of Technology in Human Services","1994"
"41",65,"Journal of Technology in Human Services","1994"
"42",66,"Journal of Technology in Human Services","1994"
"43",68,"Journal of Technology in Human Services","1994"
"44",69,"Journal of Technology in Human Services","1994"
"45",70,"Journal of Technology in Human Services","1994"
"46",71,"Journal of Technology in Human Services","1994"
"47",72,"Journal of Technology in Human Services","1994"
"48",73,"Journal of Technology in Human Services","1994"
"49",85,"Social Work in Health Care","1994"
"50",86,"Social Work in Health Care","1994"
"51",87,"Social Work in Health Care","1994"
"52",88,"Social Work in Health Care","1994"
"53",89,"Social Work in Health Care","1994"
"54",90,"Social Work in Health Care","1994"
"55",91,"Social Work in Health Care","1994"
"56",99,"Research on Social Work Practice","1993"
"57",100,"Research on Social Work Practice","1993"
"58",101,"Research on Social Work Practice","1993"
"59",102,"Research on Social Work Practice","1993"
"60",103,"Research on Social Work Practice","1993"
"61",104,"Research on Social Work Practice","1993"
"62",105,"Research on Social Work Practice","1993"
"63",106,"Social Work in Health Care","1993"
"64",107,"Social Work in Health Care","1993"
"65",108,"Social Work in Health Care","1993"
"66",109,"Social Work in Health Care","1993"
"67",110,"Social Work in Health Care","1993"
"68",111,"Social Work in Health Care","1993"
"69",112,"Social Work in Health Care","1993"
"70",113,"Journal of Sociology & Social Welfare","1992"
"71",114,"Journal of Sociology & Social Welfare","1992"
"72",115,"Journal of Sociology & Social Welfare","1992"
"73",116,"Research on Social Work Practice","1992"
"74",117,"International Social Work","1992"
"75",118,"International Social Work","1992"
"76",119,"Journal of Gerontological Social Work","1992"
"77",120,"Journal of Gerontological Social Work","1992"
"78",121,"Journal of Gerontological Social Work","1992"
"79",122,"Journal of Gerontological Social Work","1992"
"80",123,"Journal of Gerontological Social Work","1992"
"81",124,"Journal of Gerontological Social Work","1992"
"82",125,"Journal of Gerontological Social Work","1992"
"83",126,"Social Work in Health Care","1992"
"84",127,"Social Work in Health Care","1992"
"85",128,"Social Work in Health Care","1992"
"86",129,"Social Work in Health Care","1992"
"87",130,"Social Work in Health Care","1992"
"88",131,"Social Work in Health Care","1992"
"89",132,"Journal of Social Work & Human Sexuality","1993"
"90",133,"Journal of Social Work & Human Sexuality","1993"
"91",134,"Journal of Social Work & Human Sexuality","1993"
"92",135,"Journal of Social Work & Human Sexuality","1993"
"93",136,"Journal of Social Work & Human Sexuality","1993"
"94",137,"Journal of Social Work & Human Sexuality","1993"
"95",138,"Journal of Social Work & Human Sexuality","1993"
"96",139,"Journal of Social Work & Human Sexuality","1993"
"97",140,"Smith College Studies in Social Work","1991"
"98",141,"Smith College Studies in Social Work","1991"
"99",142,"Smith College Studies in Social Work","1991"
"100",143,"Smith College Studies in Social Work","1991"
"101",144,"Smith College Studies in Social Work","1991"
"102",145,"Smith College Studies in Social Work","1991"
"103",148,"Social Work With Groups","1991"
"104",149,"Social Work With Groups","1991"
"105",150,"Social Work With Groups","1991"
"106",151,"Social Work With Groups","1991"
"107",152,"Social Work With Groups","1991"
"108",153,"Social Work With Groups","1991"
"109",154,"Social Work With Groups","1991"
"110",155,"Social Work With Groups","1991"
"111",156,"Social Work With Groups","1991"
"112",170,"Child & Adolescent Social Work Journal","1990"
"113",171,"Child & Adolescent Social Work Journal","1990"
"114",172,"Child & Adolescent Social Work Journal","1990"
"115",173,"Child & Adolescent Social Work Journal","1990"
"116",174,"Child & Adolescent Social Work Journal","1990"
"117",175,"Child & Adolescent Social Work Journal","1990"
"118",176,"Social Work With Groups","1990"
"119",177,"Social Work With Groups","1990"
"120",178,"Social Work With Groups","1990"
"121",179,"Social Work With Groups","1990"
"122",180,"Social Work With Groups","1990"
"123",181,"Social Work With Groups","1990"
"124",182,"Social Work With Groups","1990"
"125",183,"Social Work in Health Care","1990"
"126",184,"Social Work in Health Care","1990"
"127",185,"Social Work in Health Care","1990"
"128",186,"Social Work in Health Care","1990"
"129",187,"Social Work in Health Care","1990"
"130",188,"Social Work in Health Care","1990"
"131",189,"Social Work in Health Care","1990"
"132",190,"Social Work in Health Care","1990"
"133",191,"Social Work With Groups","1992"
"134",192,"Social Work With Groups","1992"
"135",193,"Social Work With Groups","1992"
"136",194,"Social Work With Groups","1992"
"137",195,"Social Work With Groups","1992"
"138",196,"Social Work With Groups","1992"
"139",197,"Social Work With Groups","1992"
"140",198,"Social Work With Groups","1992"
"141",199,"Social Work With Groups","1992"
"142",200,"Social Work With Groups","1992"
"143",201,"Social Work With Groups","1992"
"144",202,"Social Work With Groups","1992"
"145",203,"Social Work With Groups","1992"
"146",204,"Journal of Social Service Research","1993"
"147",205,"Journal of Social Service Research","1993"
"148",206,"Journal of Social Service Research","1993"
"149",207,"Social Work With Groups","1991"
"150",208,"Social Work With Groups","1991"
"151",209,"Social Work With Groups","1991"
"152",210,"Social Work With Groups","1991"
"153",211,"Social Work With Groups","1991"
"154",212,"Social Work With Groups","1990"
"155",213,"Social Work With Groups","1990"
"156",214,"Social Work With Groups","1990"
"157",215,"Social Work With Groups","1990"
"158",216,"Social Work With Groups","1990"
"159",217,"Social Work With Groups","1990"
"160",218,"Social Work Research","1995"
"161",219,"Social Work Research","1995"
"162",220,"Child & Adolescent Social Work Journal","1995"
"163",221,"Child & Adolescent Social Work Journal","1995"
"164",222,"Child & Adolescent Social Work Journal","1995"
"165",223,"Child & Adolescent Social Work Journal","1995"
"166",224,"Social Work Research","1995"
"167",225,"Social Work Research","1995"
"168",226,"Families in Society","1995"
"169",227,"Families in Society","1995"
"170",228,"Families in Society","1995"
"171",229,"Clinical Social Work Journal","1995"
"172",230,"Clinical Social Work Journal","1995"
"173",231,"Clinical Social Work Journal","1995"
"174",232,"Clinical Social Work Journal","1995"
"175",233,"Clinical Social Work Journal","1995"
"176",234,"British Journal of Social Work","1995"
"177",235,"British Journal of Social Work","1995"
"178",236,"British Journal of Social Work","1995"
"179",237,"British Journal of Social Work","1995"
"180",238,"British Journal of Social Work","1995"
"181",239,"Families in Society","1995"
"182",240,"Families in Society","1995"
"183",241,"Families in Society","1995"
"184",242,"Families in Society","1995"
"185",243,"Families in Society","1995"
"186",244,"Social Development","1995"
"187",245,"Social Development","1995"
"188",246,"Social Development","1995"
"189",247,"Social Development","1995"
"190",248,"Social Development","1995"
"191",249,"Social Work","1995"
"192",250,"Social Work","1995"
"193",252,"Social Work","1995"
"194",254,"Social Work","1995"
"195",255,"Social Work","1995"
"196",256,"Social Work","1995"
"197",257,"Social Work","1995"
"198",258,"Social Work","1995"
"199",259,"Social Work","1995"
"200",260,"Health & Social Work","1995"
"201",261,"Health & Social Work","1995"
"202",262,"Health & Social Work","1995"
"203",263,"Health & Social Work","1995"
"204",264,"Health & Social Work","1995"
"205",265,"Smith College Studies in Social Work","1995"
"206",266,"International Social Work","1995"
"207",267,"Child & Adolescent Social Work Journal","1995"
"208",268,"International Social Work","1995"
"209",269,"Child & Adolescent Social Work Journal","1995"
"210",270,"International Social Work","1995"
"211",271,"Child & Adolescent Social Work Journal","1995"
"212",272,"Child & Adolescent Social Work Journal","1995"
"213",273,"International Social Work","1995"
"214",274,"Child & Adolescent Social Work Journal","1995"
"215",275,"British Journal of Social Work","1995"
"216",276,"British Journal of Social Work","1995"
"217",277,"British Journal of Social Work","1995"
"218",278,"British Journal of Social Work","1995"
"219",279,"British Journal of Social Work","1995"
"220",280,"British Journal of Social Work","1995"
"221",281,"Research on Social Work Practice","1995"
"222",282,"Research on Social Work Practice","1995"
