"","articleID","attributes","record"
"1",120349,"article","""...We Didn't Connect at All..."": The Experiences of a Gay Client"
"2",122675,"article","""40 & Forward"": Preliminary Evaluation of a Group Intervention to Improve Mental Health Outcomes and Address HIV Sexual Risk Behaviors Among Older Gay and Bisexual Men"
"3",45101,"article","""A breast ain't nothing but a sandwich"": Narratives of Ells, an African American social worker breast cancer survivor."
"4",122110,"article","""AM/FM Activism"": Taking National Media Tools to a Local Level"
"5",52341,"article","""Acting Living"": transforming the organization of retirement and housing in the U.S."
"6",45573,"article","""All my friends are doing it:"" The impact of the perception of peer sexuality on adolescents' intent to have sex."
"7",120862,"article","""Battered Women"" as ""Victims"" and ""Survivors"": Creating Space for Resistance"
"8",53693,"article","""Bringing reality to the table"": contributors to the lack of parent participation in an early childhood service program."
"9",30052,"article","""COMPETENCE"" IN NEOLIBERAL TIMES."
"10",51759,"article","""Can we talk?"": using facilitated dialogue to positively change student attitudes towards persons with mental illness."
"11",120865,"article","""Difference"" and Social Work Curriculum"
"12",121731,"article","""Dreaming a Great Dream"": Prospects for a New, Radical Social Work"
"13",29556,"article","""Driving Ms. Jane Addams"": Students and Instructors Learn in Field Education."
"14",52021,"article","""Equal time"" and ""equal voice"": a model foundation research course."
"15",58509,"article","""Family sensitive"" policies can attract employees to human service organizations."
"16",52707,"article","""For their own good?"": Sex work, social control and social workers a historical perspective."
"17",122881,"article","""GWM Looking for Sex-SERIOUS ONLY"": The Interplay of Sexual Ad Placement Frequency and Success on the Sexual Health of ""Men Seeking Men"" on Craigslist"
"18",122664,"article","""How do you do it?"": MSW Field Director Survey"
"19",45836,"article","""I thought I hated data"": Preparing MSW students for data-driven practice."
"20",54192,"article","""I want to rebirth my twenty year old son"": bereaved parents responses."
"21",122512,"article","""I'm Part of This Family"": How Five Care-Giving Partners of Gay Men Story Their Experiences"
"22",122194,"article","""If Today Is Tuesday..."": Educational Methods for Cross-National Experiential Learning"
"23",119268,"article","""In the Polish Way"": Social Service and Professional Social Work Development in Contemporary Poland"
"24",47529,"article","""It should have been happening to me"": The psychosocial issues older caregiving mothers experience."
"25",46574,"article","""It's about us"": Marital adjustment and marital adaptation in couples who adopt children from the child welfare system."
"26",48597,"article","""Kitchen cupboard drinking"": a review of South African Women's secretive alcohol addiction, treatment history, and barriers to accesing treatment."
"27",120190,"article","""Making It Manageable"": Custody Planning with HIV-Affected Families"
"28",60793,"article","""New"" directions in the welfare reform debate: the problems of federalism."
"29",48607,"article","""No matter what I do they still want their family"": stressors for African American grandparents and other relatives."
"30",54241,"article","""Now that Mom is the Lord's arms, I just have to live the way she taught me"": reflections on an elderly, African American mother's death."
"31",60803,"article","""Our town"": a case study of ideology and the private social welfare sector."
"32",51092,"article","""Please tell them I'm so lonely."""
"33",51035,"article","""Res Ipsa Loquitur"" It speaks for itself...social work-values, pain, and palliative care."
"34",60975,"article","""Safe passage"": social work roles and functions in hospice care."
"35",122354,"article","""Sometimes You Just Have to Have a Lot of Bitter to Make It Sweet"": Substance Abuse and Partner Abuse in the Lives of HIV-Positive Men Who Have Sex with Men"
"36",118908,"article","""Strength"" Community -- The Role of Community Development Services in SARS"
"37",122500,"article","""That's so gay"": Language Use and Antigay Bias Among Heterosexual College Students"
"38",51102,"article","""The song that this voice sings"": harmonizing students' personal and professional voices."
"39",119989,"article","""They don't even greet you"": HIV Stigma and Diagnosis Disclosure Experienced by HIV-Positive African Immigrants and Refugees in New Zealand"
"40",120229,"article","""Twists and Turns"": Case Study of an HIV Caregiving Journey"
"41",57765,"article","""Uphill all the way"": reflections on the course and study of welfare history."
"42",121933,"article","""We Are Not Just Rent Receipts"": Housing, Neighbourhood, and Community Re-imagined by Formerly Homeless People"
"43",121269,"article","""We Have a Lot of Sleeping Parents"": Comparing Inner-City and Suburban High School Teachers' Experiences with Parent Involvement"
"44",122690,"article","""We Have to Create Family"": Aging Support Issues and Needs Among Older Lesbians"
"45",44632,"article","""We are talking about saving lives"": The welfare state, health care policy, and nongovernability: A case study of an Israeli hospital."
"46",47903,"article","""We call it the badlands"": How social-spatial geographies influence social services use."
"47",50944,"article","""We just happen to live here"": two social workers share their stories about Oregon's Death with Dignity Law."
"48",120140,"article","""Wearing Two Hats"": Work-Related Needs of HIV-Seropositive Women Working in the HIV Field"
"49",119971,"article","""What Could Have Been Different"": A Qualitative Study of Syndemic Theory and HIV Prevention Among Young Men Who Have Sex With Men"
"50",52020,"article","""What do I do now?"": on teaching evidence-based interventions in social work practice."
"51",46794,"article","""Who believes most in me and in my recovery"": The importance of families for persons with serious mental illness living in structured community housing."
"52",47800,"article","""Working with families toward facilitating healthy sexuality for individuals with autism spectrum disorders."
"53",122462,"article","""You Make Them Do What?"": A National Survey on Field Seminar Assignments"
"54",44629,"article","""Young women"": The meaning of a collaborative program supporting young women's rehabilitation and reintegration into the labor market."
"55",21085,"article","'A Port in a Storm': Client Perceptions of Substance Abuse Treatment Outreach in a Soup Kitchen."
"56",22789,"article","'A Tapestry of Voices': Using Elder Focus Groups to Guide Applied Research Practice."
"57",119070,"article","'A Virtual Placement.' The Creation of an Interactive, Web-Based Program to Prepare Students for 'Live' Placement"
"58",17852,"article","'A black benefit': Racial prejudice among white welfare recipients in a low-income neighborhood."
"59",17994,"article","'A failure of curiosity.'"
"60",15246,"article","'A friend and an equal': Do young people in care seek the impossible from their social workers?"
"61",16746,"article","'A new sort of 'Salvation Army'': Historical perspectives on the confluence of psychoanalysis and social work."
"62",16207,"article","'A'ole drugs! Cultural practices and drug resistance of rural Hawai`ian youths."
"63",20864,"article","'Acting as a good parent would'? Psychosocial support for parents in a children's hospital."
"64",22709,"article","'Active living': Transforming the organization of retirement and housing in the U.S."
