"","Country","N","Freq"
"1","Afghanistan","1",0
"2","Africa","1",0
"3","Albania","1",0
"4","Algeria","1",1
"5","Angola","1",1
"6","Appalachia","1",0
"7","Argentina","1",0
"8","Armenia","1",1
"9","Asia","1",0
"10","Australia","1",0
"11","Austria","1",0
"12","Azerbaijan","1",0
"13","Bahamas","1",0
"14","Bahrain","1",1
"15","Baltic States","1",1
"16","Bangladesh","1",0
"17","Barbados","1",0
"18","Belgium","1",0
"19","Benin","1",1
"20","Bermuda","1",0
"21","Bolivia","1",0
"22","Bosnia-Herzegovina","1",0
"23","Botswana","1",0
"24","Brazil","1",0
"25","Bulgaria","1",0
"26","Cambodia","1",0
"27","Cameroon","1",0
"28","Canada","1",0
"29","Caribbean","1",0
"30","Central America","1",0
"31","Channel Islands","1",1
"32","Chile","1",0
"33","China","1",0
"34","Colombia","1",0
"35","Commonwealth of Independent States","1",1
"36","Costa Rica","1",0
"37","Croatia","1",0
"38","Cuba","1",0
"39","Cyprus","1",0
"40","Czech Republic","1",0
"41","Czechoslovakia","1",0
"42","Democratic Republic of Congo","1",0
"43","Denmark","1",0
"44","Dominican Republic","1",0
"45","Eastern Europe","1",0
"46","Ecuador","1",0
"47","Egypt","1",0
"48","El Salvador","1",0
"49","England","1",0
"50","Eritrea","1",1
"51","Estonia","1",0
"52","Ethiopia","1",0
"53","Europe","1",0
"54","Fiji","1",1
"55","Finland","1",0
"56","France","1",0
"57","French Polynesia","1",1
"58","Gambia","1",0
"59","Gaza Strip","1",1
"60","Georgia","1",0
"61","Germany","1",0
"62","Ghana","1",0
"63","Great Britain","1",0
"64","Greece","1",0
"65","Grenada","1",1
"66","Guam","1",1
"67","Guatemala","1",0
"68","Guinea","1",1
"69","Guyana","1",0
"70","Haiti","1",0
"71","Honduras","1",0
"72","Hong Kong","1",0
"73","Hungary","1",0
"74","Iceland","1",0
"75","India","1",0
"76","Indonesia","1",0
"77","Iran","1",0
"78","Iraq","1",0
"79","Ireland","1",0
"80","Israel","1",0
"81","Italy","1",0
"82","Ivory Coast","1",1
"83","Jamaica","1",0
"84","Japan","1",0
"85","Jordan","1",0
"86","Kazakhstan","1",0
"87","Kenya","1",0
"88","Korea","1",0
"89","Kuwait","1",0
"90","Kyrgyzstan","1",1
"91","Laos","1",1
"92","Latin America","1",1
"93","Latvia","1",0
"94","Lebanon","1",0
"95","Lesotho","1",0
"96","Liberia","1",0
"97","Lithuania","1",0
"98","Luxembourg","1",0
"99","Macao","1",1
"100","Macau","1",0
"101","Macedonia","1",1
"102","Malawi","1",0
"103","Malaysia","1",0
"104","Malta","1",0
"105","Marshall Islands","1",0
"106","Mauritius","1",0
"107","Mexico","1",0
"108","Middle East","1",0
"109","Moldova","1",0
"110","Mongolia","1",0
"111","Morocco","1",1
"112","Mozambique","1",0
"113","Myanmar","1",0
"114","Namibia","1",0
"115","Nepal","1",0
"116","Netherlands","1",0
"117","New Caledonia","1",1
"118","New Zealand","1",0
"119","Nicaragua","1",0
"120","Nigeria","1",0
"121","North America","1",0
"122","North Korea","1",1
"123","Northern Ireland","1",0
"124","Norway","1",0
"125","Oceania/Pacific Islands","1",0
"126","Oman","1",1
"127","Pakistan","1",0
"128","Palau","1",1
"129","Palestine","1",0
"130","Panama","1",0
"131","Paraguay","1",0
"132","Peru","1",0
"133","Philippines","1",0
"134","Poland","1",0
"135","Portugal","1",0
"136","Puerto Rico","1",0
"137","Qatar","1",1
"138","Republic of Congo","1",1
"139","Republic of Serbia","1",0
"140","Romania","1",0
"141","Russia","1",0
"142","Rwanda","1",0
"143","Samoa","1",1
"144","Saudi Arabia","1",0
"145","Scandinavia","1",0
"146","Scotland","1",0
"147","Senegal","1",0
"148","Serbia and Montenegro","1",1
"149","Sierra Leone","1",0
"150","Singapore","1",0
"151","Slovakia","1",0
"152","Slovenia","1",0
"153","Somalia","1",0
"154","South Africa","1",0
"155","South America","1",0
"156","South Korea","1",0
"157","Spain","1",0
"158","Sri Lanka","1",0
"159","St Kitts","1",1
"160","Sudan","1",1
"161","Swaziland","1",0
"162","Sweden","1",0
"163","Switzerland","1",0
"164","Syria","1",1
"165","Taiwan","1",0
"166","Tajikistan","1",0
"167","Tanzania","1",0
"168","Thailand","1",0
"169","Togo","1",1
"170","Tonga","1",1
"171","Trinidad and Tobago","1",0
"172","Turkey","1",0
"173","Uganda","1",0
"174","Ukraine","1",0
"175","United Arab Emirates","1",0
"176","United Kingdom","1",0
"177","Uruguay","1",0
"178","US","1",0
"179","US Virgin Islands","1",1
"180","USSR","1",0
"181","Venezuela","1",1
"182","Vietnam","1",0
"183","Wales","1",0
"184","West Bank","1",0
"185","West Indies","1",1
"186","Western Europe","1",1
"187","Yemen","1",1
"188","Yugoslavia","1",0
"189","Zambia","1",0
"190","Zimbabwe","1",0
"191","Afghanistan","2",0
"192","Africa","2",0
"193","Albania","2",0
"194","Algeria","2",0
"195","Angola","2",0
"196","Appalachia","2",0
"197","Argentina","2",0
"198","Armenia","2",0
"199","Asia","2",0
"200","Australia","2",0
"201","Austria","2",0
"202","Azerbaijan","2",0
"203","Bahamas","2",1
"204","Bahrain","2",0
"205","Baltic States","2",0
"206","Bangladesh","2",0
"207","Barbados","2",0
"208","Belgium","2",0
"209","Benin","2",0
"210","Bermuda","2",1
"211","Bolivia","2",0
"212","Bosnia-Herzegovina","2",1
"213","Botswana","2",0
"214","Brazil","2",0
"215","Bulgaria","2",0
"216","Cambodia","2",0
"217","Cameroon","2",0
"218","Canada","2",0
"219","Caribbean","2",0
"220","Central America","2",0
