Country,articleCount,GDPperCapita,GDPRank,PPP2013,articleRank
Afghanistan,16,664.7645892,194,1150.36,65
Africa,35,NA,NA,NA,32.5
Albania,7,4659.340601,121,9506.12,97.5
Algeria,2,5360.701146,112,7534.06,152
Angola,1,5783.36676,108,6247.28,178
Argentina,11,14715.18002,58,18749.34,76.5
Armenia,4,3504.766758,138,6190.75,120.5
Asia,23,NA,NA,NA,51.5
Australia,647,67458.35541,6,43073.06,4
Austria,18,50546.6975,15,42596.55,61
Azerbaijan,4,7811.789819,88,11044.25,120.5
Bahamas,4,22312.08297,43,32036.09,120.5
Bahrain,2,24689.10563,40,34584.44,152
Baltic States,1,NA,NA,NA,178
Bangladesh,24,957.824266,184,2079.84,49.5
Barbados,5,NA,NA,25180.87,112
Belgium,56,46877.98625,19,37880.51,26
Benin,1,804.6924986,188,1622.61,178
Bermuda,2,NA,NA,NA,152
Bolivia,7,2867.639791,149,5363.55,97.5
Bosnia-Herzegovina,5,NA,NA,NA,112
Botswana,26,7315.019289,95,16376.7,47.5
Brazil,31,11208.08274,71,12220.9,38.5
British Virgin Islands,1,NA,NA,NA,178
Bulgaria,9,7498.831484,92,14499.12,85.5
Cambodia,7,1006.839744,183,2576.21,97.5
Cameroon,6,1328.640205,173,2422.79,105
Canada,850,51958.38124,13,43471.73,3
Caribbean,6,NA,NA,NA,105
Central America,3,NA,NA,NA,132
Chad,1,1053.662501,179,2539.48,178
Channel Islands,1,NA,NA,NA,178
Chile,19,15732.31377,55,19067.25,59
China,316,6807.430824,99,9844.03,8
Colombia,12,7831.215313,87,11188.81,72
Commonwealth of Independent States,1,NA,NA,NA,178
Congo (Brazzaville),4,3167.045322,144,4790.7,120.5
Costa Rica,9,10184.60567,77,12942.09,85.5
Croatia,22,13607.51388,64,18190.91,54
Cuba,15,NA,NA,NA,68.5
Cyprus,8,25248.98107,39,25265.43,90.5
Czech Republic,17,19844.76165,49,27200.05,62.5
Czechoslovakia,2,NA,NA,NA,152
Denmark,65,59831.69556,8,37900.46,22
Dominican Republic,5,5878.996721,106,9910.51,112
East Timor,1,NA,NA,NA,178
Eastern Europe,2,NA,NA,NA,152
Ecuador,6,6002.885459,105,10080.21,105
Egypt,16,3314.462928,141,6578.5,65
El Salvador,15,3826.082486,132,7515.09,68.5
Eritrea,3,543.8219083,200,706.931,132
Estonia,11,18783.05871,50,23144.04,76.5
Ethiopia,28,505.0457458,202,1365.96,45
Europe,31,NA,NA,NA,38.5
Fiji,1,4375.406022,123,5084.61,178
Finland,96,49146.64663,17,35616.55,17
France,46,42503.30359,23,35784,27
French Polynesia,1,NA,NA,NA,178
Gambia,2,NA,NA,NA,152
Georgia,58,3605.183724,136,6144.84,24
Germany,123,46268.64107,20,40006.74,13
Ghana,44,1858.242598,158,3461.06,30
Greece,45,21956.41154,44,24011.96,28.5
Grenada,2,7890.513319,86,13723.95,152
Guam,3,NA,NA,NA,132
Guatemala,11,3477.890061,139,5282.37,76.5
Guinea,1,523.1190322,201,1125.14,178
Guyana,5,3739.469995,134,8250.25,112
Haiti,3,819.9039143,186,1315.18,132
Honduras,7,2290.780533,152,4839.38,97.5
Hong Kong,447,38123.52212,29,52721.97,6
Hungary,28,13480.91026,66,20065.08,45
Iceland,8,47461.18559,18,40999.63,90.5
India,446,1498.872175,170,4077.06,7
Indonesia,11,3475.250474,140,5214.06,76.5
Iran,23,4763.303309,119,12264.08,51.5
Iraq,31,6862.495681,98,7391.16,38.5
Ireland,167,50503.4228,16,39547.35,11
Israel,609,36050.69793,31,34770.1,5
Italy,69,35925.87748,32,30289.42,20
Ivory Coast,1,1528.937539,169,1818.08,178
Jamaica,3,5289.967803,113,9048.14,132
Japan,75,38633.70806,27,36899.36,19
Jordan,19,5214.197267,114,6115.05,59
Kazakhstan,5,13609.75338,63,14391.12,112
Kenya,24,1245.512041,176,1811.98,49.5
Korea,35,NA,NA,NA,32.5
Kosovo,3,3877.170636,131,NA,132
Kuwait,7,52197.34134,12,39706.14,97.5
Kyrgyzstan,1,1263.450172,175,2610.61,178
Laos,3,1660.706031,165,3068.09,132
Latin America,1,NA,NA,NA,178
Latvia,5,15375.44564,57,19119.51,112
Lebanon,11,9928.038098,78,14845,76.5
Lesotho,9,1125.586427,177,2255.24,85.5
Liberia,5,454.3374834,206,702.527,112
Lithuania,15,15537.91894,56,22747.21,68.5
Luxembourg,9,110697.0291,1,78669.78,85.5
Macao,1,91376.02254,4,NA,178
Macau,3,NA,NA,NA,132
Macedonia,3,4838.462105,117,10904.48,132
Malawi,3,226.4551027,210,878.744,132
Malaysia,22,10538.05789,75,17747.97,54
Mali,1,715.133813,189,1103.37,178
Malta,2,22779.9105,42,27840.15,152
Marshall Islands,2,3627.210548,135,8989.52,152
Mauritius,2,9202.517324,82,16056.06,152
Mexico,105,10307.28304,76,15562.6,15
Micronesia,2,3054.068122,146,7288.39,152
Middle East,3,NA,NA,NA,132
Moldova,7,2239.286026,153,3736.09,97.5
Mongolia,7,4056.397839,128,5885.22,97.5
Morocco,5,3092.606545,145,5455.82,112
Mozambique,5,605.0341744,197,1089.83,112
Myanmar,2,NA,NA,1739.84,152
Namibia,3,5693.129154,110,8191.15,132
Nepal,16,694.1047943,191,1508.17,65
Netherlands,104,50793.14296,14,41710.7,16
New Caledonia,1,NA,NA,NA,178
New Zealand,120,41555.83441,25,30493.26,14
Nicaragua,13,1851.105852,159,4554.03,71
Nigeria,32,3005.513796,148,2831.48,35.5
North America,15,52939.84089,11,NA,68.5
North Korea,4,NA,NA,NA,120.5
Norway,124,100818.5032,2,54946.68,12
Oceania/Pacific Islands,2,NA,NA,NA,152
Oman,2,21929.01457,45,29813.16,152
Pakistan,10,1275.301817,174,3149.42,81.5
Palau,1,11810.08701,69,23665.65,178
Palestine,28,NA,NA,NA,45
Panama,2,11036.80739,72,16658.14,152
Papua New Guinea,6,2088.352257,154,2833.85,105
Paraguay,2,4264.650642,126,6823.19,152
Peru,11,6661.591112,101,11123.7,76.5
Philippines,17,2765.084587,150,4681.96,62.5
Poland,32,13647.9647,62,21214.3,35.5
Portugal,31,21733.07306,46,23068.36,38.5
Puerto Rico,22,28528.9971,35,NA,54
Qatar,4,93714.06338,3,98813.66,120.5
Republic of Congo,1,NA,NA,NA,178
Republic of Serbia,2,NA,NA,NA,152
Romania,88,9499.205679,81,13395.9,18
Russia,33,14611.70078,59,17884.49,34
Rwanda,9,638.6657954,195,1538.22,85.5
Samoa,3,4212.363465,127,6209.83,132
Saudi Arabia,8,25961.80842,37,31244.74,90.5
Scandinavia,2,NA,NA,NA,152
Senegal,3,1046.586426,180,1958.21,132
Serbia and Montenegro,1,NA,NA,NA,178
Sierra Leone,8,678.9609045,193,1541.76,90.5
Singapore,58,55182.48279,9,64583.63,24
Slovakia,7,NA,NA,NA,97.5
Slovenia,26,23289.33573,41,27899.78,47.5
Somalia,7,NA,NA,NA,97.5
South Africa,170,6617.911609,102,11259.14,10
South America,4,NA,NA,NA,120.5
South Korea,29,25976.95283,36,33189.06,42.5
Spain,58,29863.17672,34,29851.1,24
