"","x"
"1","Families in Society"
"2","Social Work"
"3","British Journal of Social Work"
"4","Journal of Gerontological Social Work"
"5","Research on Social Work Practice"
"6","Social Work in Health Care"
"7","International Social Work"
"8","Health & Social Work"
"9","Journal of Social Work Education"
"10","Social Work Education"
"11","Journal of Sociology & Social Welfare"
"12","Journal of Human Behavior in the Social Environment"
"13","Clinical Social Work Journal"
"14","Social Service Review"
"15","Indian Journal of Social Work"
"16","Affilia"
"17","Child & Adolescent Social Work Journal"
"18","Reflections: Narratives of Professional Helping"
"19","Social Work With Groups"
"20","Journal of Social Service Research"
"21","Journal of Psychosocial Oncology"
"22","Social Work Research"
"23","Administration in Social Work"
"24","Child & Family Social Work"
"25","Journal of Social Work Practice"
"26","Journal of Gay & Lesbian Social Services"
"27","Smith College Studies in Social Work"
"28","Journal of Community Practice"
"29","Journal of Technology in Human Services"
"30","International Journal of Social Welfare"
"31","Journal of Teaching in Social Work"
"32","Canadian Social Work Review"
"33","European Journal of Social Work"
"34","Journal of Social Work Practice in the Addictions"
"35","Arete"
"36","Social Work & Christianity"
"37","Social Work in Mental Health"
"38","Qualitative Social Work"
"39","Journal of Baccalaureate Social Work"
"40","Journal of Ethnic & Cultural Diversity in Social Work"
"41","Journal of HIV/AIDS & Social Services"
"42","Psychoanalytic Social Work"
"43","Journal of Social Work"
"44","Australian Social Work"
"45","Social Development Issues"
"46","Children & Schools"
"47","Advances in Social Work"
"48","Social Work in Public Health"
"49","Social Work & Social Sciences Review"
"50","Social Work & Society"
"51","Professional Development"
"52","Journal of Family Social Work"
"53","Social Work Review"
"54","Practice: Social Work in Action"
"55","Journal of Religion & Spirituality in Social Work"
"56","The Hong Kong Journal of Social Work"
"57","Journal of Social Work in End-of-Life & Palliative Care"
"58","School Social Work Journal"
"59","Journal of Evidence-Based Social Work"
"60","Ethics & Social Welfare"
"61","Journal of Social Work in Disability & Rehabilitation"
"62","Journal of Social Work Research & Evaluation"
"63","China Journal of Social Work"
"64","Journal of Progressive Human Services"
"65","Journal of School Social Work"
"66","Journal of Practice Teaching in Social Work & Health"
"67","Journal of the Society for Social Work & Research"
"68","Rural Social Work"
"69","Journal of Social Work & Human Sexuality"
"70","Asian Social Work & Policy Review"
"71","Canadian Social Work"
"72","Journal of Applied Social Sciences"
"73","Journal of Comparative Social Welfare"
"74","Rural Social Work & Community Practice"
"75","Asia Pacific Journal of Social Work & Development"
"76","Journal of Social Work Values & Ethics"
"77","Social Work Forum"
"78","Contemporary Rural Social Work"
