"articleID","attributes","record"
54241,"article","""Now that Mom is the Lord's arms, I just have to live the way she taught me"": reflections on an elderly, African American mother's death."
58808,"article","""Tell me about it"": in the agony and ecstasy of writing for publication."
22789,"article","'A Tapestry of Voices': Using Elder Focus Groups to Guide Applied Research Practice."
2100,"article","'Far too little, far too slow': Toward a new and immediate strategy of rehabilitation for the elderly visually handicapped."
25250,"article","'I'm just glad that I'm here': Stories of seven African-American HIV-affected grandmothers."
18993,"article","'Not prepared to care' and 'raising the bar': Case examples of building university-community partnerships in gerontological social work research."
20755,"article","'Religion Is the Finding Thing': An Evolving Spirituality in Late Life."
12425,"article","'Talking in a new way': Older individuals' experiences of group work in an acute psychiatric ward."
23563,"article","'Well, we've all got to get old haven't we?': Reflections of older people with intellectual disabilities on aging and change."
42771,"article","1995 World Summit for Social Development and the elderly."
20065,"article","A Competency Approach to Curriculum Building: A Social Work Mission."
23509,"article","A Curriculum Module Enhances Students' Gerontological Practice-Related Knowledge and Attitudes."
33531,"article","A Dual Process Model of Grief Counseling: Findings from the Changing Lives of Older Couples (CLOC) Study."
21156,"article","A Pastoral Understanding of Positive Aging."
22906,"article","A Pilot Study About the Needs of Older Gays and Lesbians: What Social Workers Need to Know."
20083,"article","A Policy Perspective on Elder Justice Through APS and Law Enforcement Collaboration."
22553,"article","A Rural Perspective on Marketing Services to Older Adults."
26164,"article","A case study of intergenerational relations through dance with profoundly deaf individuals."
12571,"article","A community treatment intervention AdVancing Active Treatment in the Elderly (ACTIVATE): A pilot study."
2169,"article","A community-based education model for identification and prevention of elder abuse."
1010,"article","A comparative profile of frail elderly persons living alone and those living with others."
13761,"article","A comparison of attitudes about cremation among Black and White middle-aged and older adults."
2152,"article","A comparison of hospitalization experiences for demented and nondemented elders: Findings of a retrospective chart review."
16517,"article","A comparison of rural and urban older adults in Iowa on specific markers of successful aging."
13177,"article","A conceptual framework for differential use of mediation and family therapy interventions with older adults and their families."
25683,"article","A constructive model for working with depressed elders."
38771,"article","A geriatric education center faculty development program dedicated to social work."
4996,"article","A group work experience with mentally retarded adults on the issues of death and dying."
14979,"article","A lesbian older adult managing identity disclosure: A case study."
2108,"article","A life course perspective on health threats in aging."
2185,"article","A life-review workshop for gay and lesbian elders."
24197,"article","A life-space approach to functional assessment of mobility in the elderly."
13355,"article","A long life with a particular signature: Life course and aging for people with disabilities."
17723,"article","A look at a community coming together to meet the needs of older adults: An evaluation of the Neighbors Helping Neighbors program."
17726,"article","A measure of English acculturation stress and its relationships with psychological and physical health status in a sample of elderly Russian immigrants."
26597,"article","A model for community-based mental health services for older adults: Innovative social work practice."
38777,"article","A model for increasing minority participation at managerial level in the field of aging."
2105,"article","A model of comprehensive community-based services for older blind adults."
4877,"article","A multi-service respite program for caregivers of Alzheimer's patients."
47768,"article","A multicultural approach to HIV prevention within a residential chemical dependency treatment program: The positive steps program."
11866,"article","A multilevel analysis of aggressive behaviors among nursing home residents."
38769,"article","A national survey of aging curriculum in schools of social work."
2111,"article","A needs assessment of persons with visual impairments: Implications for older adults and service providers."
24837,"article","A new grandparenting: Dialogue and covenant through mentoring."
10764,"article","A nonprofit community service and academic collaboration to increase outreach to older adults with cancer: Lessons learned."
26149,"article","A personal advocacy model for serving older adults."
1008,"article","A preliminary study of medical services for persons with Alzheimer's disease: Recommendations by California's Alzheimer's Diagnostic and Treatment Program staff."
37189,"article","A profile of Asian/Pacific Islander elderly in home health care."
13414,"article","A profile of support group use and need among middle-aged and older adults with multiple sclerosis."
25255,"article","A proposed model for predicting job satisfaction among nursing home social workers."
976,"article","A psychoeducational model for caregivers of patients with Alzheimer's disease."
17930,"article","A qualitative perspective of family resources among low income, African American grandmother-caregivers."
38642,"article","A research and policy agenda on predictors of institutional placement among minority elderly."
518,"article","A strengths perspective in practice: Older people and mental health challenges."
19055,"article","A stress process model of family caregiver service utilization: Factors associated with respite and counseling service use."
26612,"article","A study of mutual support between Black and White grandmothers and their adult grandchildren."
56109,"article","A study of reasons for non-payment of child support by non-custodial parents."
38569,"article","A survey of the unmet needs of homebound elders."
2102,"article","A tale of two cultures: Cross-disciplinary perspectives in the care of older adults with combined visual and medical disabilities."
2184,"article","A taxonomy of reminiscence and therapeutic implications."
2182,"article","A telephone reassurance service: A natural support system for the elderly."
4995,"article","A therapeutic hugging week in a geriatric facility."
42769,"article","A wedding in a nursing home."
26665,"article","AIDS and aging."
13354,"article","Accelerating the translation of research into practice in long term services and supports: A critical need for federal infrastructure at the nexus of aging and disability."
21199,"article","Adaptation to American Culture: Voices of Asian Indian Immigrants."
11283,"article","Addressing individual differences in mobility transition counseling with older adults."
19054,"article","Addressing risk factors of cognitive impairment in adults aging with HIV: A social work model."
17922,"article","Addressing the vision challenges of residents at a retirement community: Collaborative research with a community partner."
1387,"article","Adult day care centers and adult protective services."
38850,"article","Adult day care services for the elderly and their families: lessons from the Pennsylvania experience."
24196,"article","Adult development and aging: A model continuing education course for practicing social workers."
23490,"article","Adults with Down Syndrome and Alzheimer's Disease: Comparison of Services Received in Group Homes and in Special Care Units."
22093,"article","Advance Directive Communication with Hospitalized Elderly Patients: Social Workers' Roles and Practices."
12287,"article","Advance directives among Korean American older adults: Knowledge, attitudes, and behavior."
25246,"article","Advance elder care decision making: A model of family planning."
22555,"article","Advocacy Techniques with Older Adults in Rural Environments."
23561,"article","African-American grandmother carers of children with disabilities: Predictors of depressive symptoms."
38823,"article","After Nancy Cruzan: no easy answers; guest editorial."
25228,"article","After the hospitalization is over: A different perspective on family care of older people."
28559,"article","Age-Friendly Cities: A Social Work Perspective."
14540,"article","Ageism and abuse in the workplace: A new frontier."
25221,"article","Ageism's impact and effect on society: Not just a concern for the old."
