"articleID","attributes","record"
249,"article","Criminal prosecution of child protection workers."
249,"journal","Social Work"
249,"pubYear","1995"
249,"author","Alexander, Rudolph"
249,"author","Alexander, Cora L."
250,"article","Clinical practice and heuristic reasoning."
250,"journal","Social Work"
250,"pubYear","1995"
250,"author","Murdach, Allison D."
251,"article","Social work's role with patients with Munchausen syndrome."
251,"journal","Social Work"
251,"pubYear","1995"
251,"author","Moore, Katherine"
252,"article","Practice wisdom."
252,"journal","Social Work"
252,"pubYear","1995"
252,"author","Klein, Waldo C."
252,"author","Bloom, Martin"
253,"article","'Don't ask, don't tell' and child welfare."
253,"journal","Social Work"
253,"pubYear","1995"
253,"author","Gustavsson, Nora S."
254,"article","How to interview for client strengths."
254,"journal","Social Work"
254,"pubYear","1995"
254,"author","De Jong, Peter"
254,"author","Miller, Scott D."
255,"article","HIV in health care workers: Managing fear through a telephone information line."
255,"journal","Social Work"
255,"pubYear","1995"
255,"author","Polinko, Paul"
255,"author","Bradley, William F."
255,"author","Molyneaux, Bruce"
255,"author","Lukoff, Carol"
255,"author","Erlen, Jonathon"
256,"article","A short-term psychoeducational multiple-family group for bipolar patients and their families."
256,"journal","Social Work"
256,"pubYear","1995"
256,"author","Brennan, Joseph W."
257,"article","Suicide risk among people living with AIDS."
257,"journal","Social Work"
257,"pubYear","1995"
257,"author","Mancoske, Ronald J."
257,"author","Wadsworth, Cynthia Martin"
257,"author","Dugas, Darlene S."
257,"author","Hasney, Joseph A."
258,"article","Substance-abusing women: False stereotypes and real needs."
258,"journal","Social Work"
258,"pubYear","1995"
258,"author","Goldberg, Margaret E."
259,"article","Substance abuse and the domestic assault of women."
259,"journal","Social Work"
259,"pubYear","1995"
259,"author","Bennett, Larry W."
300,"article","Social work and the pursuit of justice through mediation."
300,"journal","Social Work"
300,"pubYear","1995"
300,"author","Severson, Margaret M."
300,"author","Bankston, Tara V."
301,"article","Malpractice claims against social workers: First facts."
301,"journal","Social Work"
301,"pubYear","1995"
301,"author","Reamer, Frederic G."
302,"article","Social workers and immunity from civil lawsuits."
302,"journal","Social Work"
302,"pubYear","1995"
302,"author","Alexander, Rudolph"
303,"article","Burnout in social work."
303,"journal","Social Work"
303,"pubYear","1995"
303,"author","Söderfeldt, Marie"
303,"author","Söderfeldt, Björn"
303,"author","Warg, Lars-Erik"
304,"article","Client violence toward social workers: A practice and policy concern for the 1990s."
304,"journal","Social Work"
304,"pubYear","1995"
304,"author","Newhill, Christina E."
305,"article","Social worker preparedness for retirement: Gender and ethnic considerations."
305,"journal","Social Work"
305,"pubYear","1995"
305,"author","Juliá, María"
305,"author","Kilty, Keith M."
305,"author","Richardson, Virginia"
306,"article","Supervision as social work practice: A reconceptualization."
306,"journal","Social Work"
306,"pubYear","1995"
306,"author","Brashears, Freda"
333,"article","Violence reconceptualized for social work: The urban dilemma."
333,"journal","Social Work"
333,"pubYear","1995"
333,"author","Van Soest, Dorothy"
333,"author","Bryant, Shirley"
334,"article","Privatization and cutbacks: Social work and client impressions of service delivery in Massachusetts."
334,"journal","Social Work"
334,"pubYear","1995"
334,"author","Motenko, Aluma Kopito"
334,"author","Allen, Elaine Alpert"
334,"author","Angelos, Peter"
334,"author","Block, Linda"
334,"author","et"
335,"article","Pricing: A normative strategy in the delivery of human services."
335,"journal","Social Work"
335,"pubYear","1995"
335,"author","Moore, Stephen T."
336,"article","Turbulence among a native people: Social work practice with Hawaiians."
336,"journal","Social Work"
336,"pubYear","1995"
336,"location","US"
336,"author","Mokuau, Noreen"
336,"author","Matsuoka, Jon"
337,"article","Social work and the convergence of politics and science."
337,"journal","Social Work"
337,"pubYear","1995"
337,"author","Kilty, Keith M."
337,"author","Meenaghan, Thomas M."
338,"article","Social policy development: The strengths perspective."
338,"journal","Social Work"
338,"pubYear","1995"
