"","years","variable","value"
"1",1989,"journal.count","693"
"2",1990,"journal.count","708"
"3",1991,"journal.count","731"
"4",1992,"journal.count","736"
"5",1993,"journal.count","790"
"6",1994,"journal.count","825"
"7",1995,"journal.count","851"
"8",1996,"journal.count","858"
"9",1997,"journal.count","915"
"10",1998,"journal.count","917"
"11",1999,"journal.count","1054"
"12",2000,"journal.count","1066"
"13",2001,"journal.count","1199"
"14",2002,"journal.count","1244"
"15",2003,"journal.count","1324"
"16",2004,"journal.count","1416"
"17",2005,"journal.count","1498"
"18",2006,"journal.count","1451"
"19",2007,"journal.count","1694"
"20",2008,"journal.count","1562"
"21",2009,"journal.count","1842"
"22",2010,"journal.count","1984"
"23",2011,"journal.count","1988"
"24",2012,"journal.count","2010"
"25",2013,"journal.count","1933"
"26",2014,"journal.count",NA
"27",2015,"journal.count",NA
"28",1989,"journals","26"
"29",1990,"journals","26"
"30",1991,"journals","27"
"31",1992,"journals","26"
"32",1993,"journals","31"
"33",1994,"journals","31"
"34",1995,"journals","33"
"35",1996,"journals","35"
"36",1997,"journals","37"
"37",1998,"journals","39"
"38",1999,"journals","43"
"39",2000,"journals","47"
"40",2001,"journals","47"
"41",2002,"journals","52"
"42",2003,"journals","55"
"43",2004,"journals","57"
"44",2005,"journals","60"
"45",2006,"journals","55"
"46",2007,"journals","59"
"47",2008,"journals","58"
"48",2009,"journals","64"
"49",2010,"journals","67"
"50",2011,"journals","67"
"51",2012,"journals","66"
"52",2013,"journals","60"
"53",2014,"journals",NA
"54",2015,"journals",NA
"55",1989,"Mdn.Authors","1"
"56",1990,"Mdn.Authors","1"
"57",1991,"Mdn.Authors","1"
"58",1992,"Mdn.Authors","1"
"59",1993,"Mdn.Authors","1"
"60",1994,"Mdn.Authors","1"
"61",1995,"Mdn.Authors","1"
"62",1996,"Mdn.Authors","1"
"63",1997,"Mdn.Authors","1"
"64",1998,"Mdn.Authors","1"
"65",1999,"Mdn.Authors","1"
"66",2000,"Mdn.Authors","1"
"67",2001,"Mdn.Authors","1"
"68",2002,"Mdn.Authors","1"
"69",2003,"Mdn.Authors","1"
